ingredient,root
coconut vinegar,coconut vinegar
coconut juice,coconut water
coconut water,coconut water
coffea arabica,coffee
coffee,coffee
coffee filter,coffee filter
coffee grinder,coffee grinder
coffee liqueurs,coffee liqueurs
french,cognac
cognac,cognac
cointreau,cointreau
cold duck,cold duck
cooking wine,cooking wine
baking,corn syrup
corn syrup,corn syrup
hooch,corn whiskey
moonshine,corn whiskey
white lightning,corn whiskey
corn whiskey,corn whiskey
vaccinium macrocarpon,cranberry juice
cranberry juice,cranberry juice
boggs,cranberry liqueur
cranberry liqueur,cranberry liqueur
vaccinium macrocarpon,cranberry vinegar
cranberry vinegar,cranberry vinegar
bos taurus,cream
cream,cream
drinks,cream of coconut
cream of coconut,cream of coconut
crema centroamericana,crema
crema media,crema
crema mexicana,crema
crema mexicana agria,crema
crema salvadoreña,crema
crema,crema
crème d'abricots,crème d'abricots
crème d'amande,crème d'amande
crème d'ananas,crème d'ananas
creme de banane,crème de banane
crème de banane,crème de banane
creme de cacao,crème de cacao
crème de cacao,crème de cacao
creme de cafe,crème de café
crème de café,crème de café
creme de cassis,crème de cassis
crème de cassis,crème de cassis
creme de cerise,crème de cerise
crème de cerise,crème de cerise
creme de chocolat,crème de chocolat
crème de chocolat,crème de chocolat
creme de cumin,crème de cumin
crème de cumin,crème de cumin
creme a la fraise des bois,crème de fraise
crème á la fraise des bois,crème de fraise
creme de fraise,crème de fraise
crème de fraise,crème de fraise
creme de framboise,crème de framboise
crème de framboise,crème de framboise
crème de griotte,crème de griotte
creme de mandarine,crème de mandarine
crème de mandarine,crème de mandarine
creme de menthe,crème de menthe
crème de menthe,crème de menthe
creme de mure,crème de mûre
crème de mûre,crème de mûre
crème de myrtille,crème de myrtille
creme de noix,crème de noix
crème de noix,crème de noix
creme de noyau,crème de noyaux
crème de noyau,crème de noyaux
creme de noyaux,crème de noyaux
crème de noyaux,crème de noyaux
creme de peche,crème de pêche
crème de pêche,crème de pêche
creme de prunelle,crème de prunelle
crème de prunelle,crème de prunelle
creme de rose,crème de rose
creme de roses,crème de rose
crème de roses,crème de rose
crème de rose,crème de rose
creme de vanille,crème de vanille
crème de vanille,crème de vanille
creme d'yvette,crème de violette
crème d'yvette,crème de violette
creme de violette,crème de violette
crème de violette,crème de violette
crema mexicana,créme fraîche
crème fraiche,créme fraîche
créme fraîche,créme fraîche
crèmes,crème liqueurs
crème liqueurs,crème liqueurs
curacao,curaçao
curaçao,curaçao
italian,cynar
cynar,cynar
dark karo syrup,dark corn syrup
dark corn syrup,dark corn syrup
jamaican rum,dark rum
dark rum,dark rum
dash-no-moto,dashi
iriko dashi,dashi
katsuo dashi,dashi
koi dashi,dashi
konbu dashi,dashi
niboshi dashi,dashi
dashi,dashi
dashi powder,dashi powder
dealcoholized wine,de-alcoholized wine
de-alcoholized wine,de-alcoholized wine
demeraran rum,demerara rum
demerara rum,demerara rum
dessert wine,dessert wine
double cream (42% fat),double cream (42% fat)
draught beer,draft beer
draft beer,draft beer
scottish,drambuie
drambuie,drambuie
french vermouth,dry vermouth
white vermouth,dry vermouth
dry vermouth,dry vermouth
french,dubonnet
dubonnet,dubonnet
concentrated milk,evaporated milk
condensed milk,evaporated milk
evaporated milk,evaporated milk
falernum,falernum
branca menta,fernet branca
fernet branca bitters,fernet branca
fernet branca,fernet branca
fish broth,fish broth
fish stock,fish stock
flavored syrups,flavored syrups
infused vinegar,flavored vinegar
flavored vinegar,flavored vinegar
flower liqueurs,flower liqueurs
fortified wine,fortified wine
framboise eau de vie,framboise
framboise eau-de-vie,framboise
framboise,framboise
frangelico,frangelico
french,french colombard
french colombard,french colombard
aqua vitae,fruit brandies
eaux de vie,fruit brandies
eaux-de-vie,fruit brandies
white alcohol,fruit brandies
white spirits,fruit brandies
fruit brandies,fruit brandies
fruit juices,fruit juices
fruit liqueurs,fruit liqueurs
fruit vinegar,fruit vinegar
fruit wine,fruit wine
fruit-flavored brandy,fruit-flavored brandy
liquore galliano,galliano
galliano,galliano
gamay noir,gamay
gamay,gamay
american,gamay beaujolais
gamay beaujolais,gamay beaujolais
danish,gammel dansk
gammel dansk,gammel dansk
gewurztraminer,gewürztraminer
traminer,gewürztraminer
gewürztraminer,gewürztraminer
american gin,gin
dry gin,gin
dutch gin,gin
english gin,gin
geneva gin,gin
hollands gin,gin
jenever,gin
london dry gin,gin
london gin,gin
sweet gin,gin
gin,gin
ginger ale,ginger ale
ginger beer,ginger beer
scottish,glayva
glayva,glayva
goat's milk,goat's milk
godiva liqueur,godiva liqueur
cane juice,golden syrup
cane syrup,golden syrup
jus de canne,golden syrup
light treacle,golden syrup
sugar cane juice,golden syrup
golden syrup,golden syrup
goldschlager,goldschläger
goldschläger,goldschläger
danziger goldwasser,goldwasser
goldwasser,goldwasser
ethanol,grain alcohol
ethyl alcohol,grain alcohol
grain neutral spirits,grain alcohol
pure grain alcohol,grain alcohol
grain alcohol,grain alcohol
spanish,gran torres
gran torres,gran torres
grand marnier,grand marnier
red grape juice,grape juice
sparkling grape juice,grape juice
white grape juice,grape juice
grape juice,grape juice
citrus paradisi,grapefruit juice
grapefruit juice,grapefruit juice
aguardiente,grappa
bagaceira,grappa
eau de vie de marc,grappa
eau-de-vie de marc,grappa
grapa,grappa
marc,grappa
pomace brandy,grappa
testerbranntwein,grappa
grappa,grappa
tea,green tea
green,green tea
green tea,green tea
guavaberry island folk liqueur,guavaberry liqueur
guavaberry liqueur,guavaberry liqueur
half & half,half-and-half
half-and-half,half-and-half
hard cider,hard cider
noisette,hazelnut liqueur
hazelnut liqueur,hazelnut liqueur
heavy whipping cream,heavy cream
heavy cream,heavy cream
herb vinegar,herb vinegar
herb liqueurs,herbal liqueurs
herbal liqueurs,herbal liqueurs
new orleans,herbsaint
herbsaint,herbsaint
almond horchata,horchata
chufa horchata,horchata
horchata de almendra,horchata
horchata de arroz,horchata
horchata de chufa,horchata
rice horchata,horchata
horchata,horchata
ipa,india pale ale
india pale ale,india pale ale
instant coffee,instant coffee
bailey's irish cream,irish cream liqueur
irish cream liqueur,irish cream liqueur
irish mist,irish mist
irish,irish whiskey
irish whiskey,irish whiskey
basque,izarra
izarra,izarra
jagermeister,jägermeister
jägermeister,jägermeister
jasmine tea,jasmine tea
labin,jocoque
jocoque,jocoque
white riesling,johannisberg riesling
johannisberg riesling,johannisberg riesling
kahlua,kahlúa
kahlúa,kahlúa
calamansi juice,kalamansi juice
musk lime juice,kalamansi juice
musklime juice,kalamansi juice
kalamansi juice,kalamansi juice
kaimaki,kaymak
kaymak,kaymak
turkish,kefir
kefir,kefir
mexican lime juice,key lime juice
key lime juice,key lime juice
chrysopogon zizanioides,khus syrup
khus syrup,khus syrup
cherry brandy,kirsch
kirschwasser,kirsch
schwarzwalder,kirsch
kirsch,kirsch
kitchen bouquet,kitchen bouquet
passover wine,kosher wine
kosher wine,kosher wine
arjan,kumiss
koumis,kumiss
koumiss,kumiss
koumyss,kumiss
kumiss,kumiss
allasch kümmel,kümmel
gilka kümmel,kümmel
kummel,kümmel
kümmel,kümmel
kumquat liqueur,kumquat liqueur
dark lager beers,lager beer
light beer,lager beer
lite beer,lager beer
pilsener beer,lager beer
pilsner beer,lager beer
pilsner urquell beer,lager beer
lager beer,lager beer
ovis aries,lamb stock
lamb stock,lamb stock
eiswein,late harvest wine
ice wine,late harvest wine
icewine,late harvest wine
late harvest wine,late harvest wine
citrus limon,lemon juice
lemon juice,lemon juice
liquore di limoni,lemon liqueur
lemon liqueur,lemon liqueur
cuarenta y tres,licor 43
licor 43,licor 43
lite beer,light beer
light beer,light beer
lite coconut milk,light coconut milk
light coconut milk,light coconut milk
light karo syrup,light corn syrup
light corn syrup,light corn syrup
coffee cream,light cream
table cream,light cream
light cream,light cream
whipping cream,light whipping cream
light whipping cream,light whipping cream
lillet blonde,lillet
lillet rouge,lillet
lillet,lillet
persian lime juice,lime juice
lime juice,lime juice
limoncino,limoncello
limoncello,limoncello
cordial,liqueur
liqueur,liqueur
booze,liquor
hard alcohol,liquor
hard liquor,liquor
spirits,liquor
liquor,liquor
scottish,lochan-ora
lochan-ora,lochan-ora
bos taurus,low-fat yogurt
low-fat yogurt,low-fat yogurt
boal madeira,madeira
bual madeira,madeira
malmsey madeira,madeira
malvasia madeira,madeira
rainwater madeira,madeira
sercial madeira,madeira
verdelho madeira,madeira
madeira,madeira
malbec,malbec
malt liquor,malt liquor
alegar,malt vinegar
brown malt vinegar,malt vinegar
distilled malt vinegar,malt vinegar
malt vinegar,malt vinegar
citrus reticulata,mandarin orange juice
mandarin orange juice,mandarin orange juice
mandarine napoléon,mandarine liqueur
mandarine liqueur,mandarine liqueur
acer saccharum,maple syrup
maple syrup,maple syrup
luxardo maraschino,maraschino liqueur
stock maraschino,maraschino liqueur
maraschino liqueur,maraschino liqueur
french,marc
marc,marc
italian,marsala
marsala,marsala
masticha,mastika
mastika,mastika
green tea powdered,matcha
matcha powder,matcha
matcha,matcha
mathilde orange liqueur,mathilde orange liqueur
honey wine,mead
mead,mead
merlot,merlot
greek,metaxa
metaxa,metaxa
mescal,mezcal
mezcal,mezcal
japanese,midori
midori,midori
"milk 0.5%, nonfat","milk 0.5%, nonfat"
"milk 2%, low-fat","milk 2%, low-fat"
milk 3.5%,milk 3.5%
"milk, sweetened condensed","milk, sweetened condensed"
capra aegagrus hircus,milnot
milnot,milnot
mentha spicata,mint syrup
mint syrup,mint syrup
mint-flavored liqueurs,mint-flavored liqueurs
sweet rice wine,mirin
sweet sake,mirin
mirin,mirin
miscellaneous liqueurs,miscellaneous liqueurs
barbados molasses,molasses
dark molasses,molasses
full molasses,molasses
full-flavored molasses,molasses
light molasses,molasses
mild molasses,molasses
sweet molasses,molasses
molasses,molasses
french,muscadet
muscadet,muscadet
moscatel,muscat
moscato,muscat
muscadel,muscat
muscatel,muscat
muscat,muscat
american,neopolitan liqueur
neopolitan liqueur,neopolitan liqueur
non-dairy topping,non-dairy topping
nondairy creamer,nondairy creamer
nut liqueurs,nut liqueurs
avena sativa,oat milk
oat milk,oat milk
tea,oolong tea
oolong,oolong tea
oolong tea,oolong tea
british,orange bitters
orange bitters,orange bitters
citrus,orange juice
orange juice,orange juice
orange liqueur,orange liqueur
almond syrup,orgeat
orzata,orgeat
orgeat,orgeat
greek,ouzo
ouzo,ouzo
oyster liquor,oyster liquor
amber ale,pale ale
pale ale,pale ale
palm syrup,palm syrup
toddy vinegar,palm vinegar
palm vinegar,palm vinegar
maple-flavored syrup,pancake syrup
pancake syrup,pancake syrup
french,parfait amour
parfait amour,parfait amour
passiflora,passion fruit juice
passion fruit juice,passion fruit juice
la grande passion,passion fruit liqueur
passion fruit liqueur,passion fruit liqueur
french,pastis
pastis,pastis
eau-de-vie de poire,pear brandy
pear brandy,pear brandy
pear liqueur,pear liqueur
german,peppermint schnapps
peppermint schnapps,peppermint schnapps
pernod,pernod
perry,perry
petite sirah,petite syrah
petite syrah,petite syrah
peychaud's bitters,peychaud's bitters
pilsener beer,pilsner beer
pilsner beer,pilsner beer
pimm's cup,pimm's cup
ananas comosus,pineapple juice
pineapple juice,pineapple juice
ananas comosus,pineapple vinegar
pineapple vinegar,pineapple vinegar
pinot blanc,pinot blanc
pinot gris,pinot grigio
pinot grigio,pinot grigio
pinot noir,pinot noir
pisco brandy,pisco
pisco,pisco
mirabelle,plum brandy
pflümli,plum brandy
prunelle,plum brandy
quetsch,plum brandy
slivovic,plum brandy
slivovitz,plum brandy
slivowitz,plum brandy
plum brandy,plum brandy
plum wine,plum wine
punica granatum,pomegranate juice
pomegranate juice,pomegranate juice
elixer longæ vitæ,pommeranzen bitters
pommeranzen bitters,pommeranzen bitters
port wine,port
ruby ports,port
tawny ports,port
vintage ports,port
wood ports,port
port,port
porter,porter ale
porter ale,porter ale
potcheen,poteen
uisce beatha,poteen
water of life,poteen
poteen,poteen
french,pouilly-fuissé
pouilly-fuissé,pouilly-fuissé
fume de pouilly,pouilly-fumé
fumé de pouilly,pouilly-fumé
pouilly-fume,pouilly-fumé
pouilly-fumé,pouilly-fumé
milk,powdered milk
powdered,powdered milk
powdered milk,powdered milk
ryazhenka,prostokvasha
sour milk,prostokvasha
varenets,prostokvasha
prostokvasha,prostokvasha
prunus subg. prunus,prune juice
prune juice,prune juice
pu'erh tea,pu'erh tea
mexican,pulque
pulque,pulque
punt e mes,punt è mes
punt è mes,punt è mes
kashk,qurut
quroot,qurut
yazdie,qurut
qurut,qurut
chambord,raspberry liqueur
framboise liqueur,raspberry liqueur
liqueur de framboise,raspberry liqueur
raspberry liqueur,raspberry liqueur
rubus,raspberry vinegar
raspberry vinegar,raspberry vinegar
fresh milk,raw milk
real milk,raw milk
raw milk,raw milk
chinese red rice vinegar,red rice vinegar
chinese red vinegar,red rice vinegar
red vinegar,red rice vinegar
red rice vinegar,red rice vinegar
red wine,red wine
red wine vinegar,red wine vinegar
greek,retsina
retsina,retsina
german,rhine wine
rhine wine,rhine wine
rhone wine,rhône wine
rhône wine,rhône wine
ricard,ricard
oryza,rice milk
rice milk,rice milk
rice wine vinegar,rice vinegar
rice vinegar,rice vinegar
asian,rice wine
rice wine,rice wine
emerald riesling,riesling
franken riesling,riesling
gray riesling,riesling
sylvaner,riesling
riesling,riesling
spanish,rioja
rioja,rioja
rock and rye,rock and rye
caribbean,rum
rum,rum
rum-based liqueurs,rum-based liqueurs
american,rye whiskey
rye whiskey,rye whiskey
israeli,sabra liqueur
sabra liqueur,sabra liqueur
rice wine,sake
saké,sake
saki,sake
sake,sake
italian,sambuca
sambuca,sambuca
sangiovese,sangiovese
french,sauternes
sauternes,sauternes
blanc fume,sauvignon blanc
blanc fumé,sauvignon blanc
sauvignon blanc,sauvignon blanc
schnaps,schnapps
schnapps,schnapps
scotch,scotch whisky
scotch whisky,scotch whisky
seasoned rice wine vinegar,seasoned rice vinegar
sushi vinegar,seasoned rice vinegar
seasoned rice vinegar,seasoned rice vinegar
semillon,sémillon
sémillon,sémillon
chinese rice wine,shaoxing wine
hsao shing wine,shaoxing wine
shao hsing wine,shaoxing wine
shaohsing wine,shaoxing wine
shaoxing wine,shaoxing wine
amontillado,sherry
amoroso,sherry
cooking sherry,sherry
cream sherry,sherry
fino sherry,sherry
manzanilla,sherry
oloroso sherry,sherry
palma sherry,sherry
sack,sherry
sherry,sherry
jerez vinegar,sherry vinegar
sherry wine vinegar,sherry vinegar
vinagre de jeréz,sherry vinegar
vinagre de xeres,sherry vinegar
xeres vinegar,sherry vinegar
sherry vinegar,sherry vinegar
silberwasser,silberwasser
rock candy syrup,simple syrup
sugar syrup,simple syrup
simple syrup,simple syrup
sloe gin,sloe gin
slivki,smetana
smatana,smetana
smitane,smetana
smetana,smetana
carbonated water,soda water
club soda,soda water
seltzer water,soda water
soda water,soda water
sorghum syrup,sorghum molasses
sorghum molasses,sorghum molasses
bos taurus,sour cream
sour cream,sour cream
bos taurus,sour milk
sour milk,sour milk
tennessee sour-mash whiskey,sour-mash whiskey
sour-mash whiskey,sour-mash whiskey
southern comfort,southern comfort
soy beverage,soy milk
soya beverage,soy milk
soya milk,soy milk
soymilk,soy milk
soy milk,soy milk
spanish,spanish brandy
spanish brandy,spanish brandy
sparkling cider,sparkling cider
sparkling mineral water,sparkling mineral water
bubbly,sparkling wine
champagne,sparkling wine
sparkling wine,sparkling wine
spice-flavored liqueurs,spice-flavored liqueurs
spiced rum,spiced rum
italian,spumante
spumante,spumante
irish,stout
stout,stout
liquore strega,strega
strega,strega
french,suze
suze,suze
ljus sirap,swedish light syrup
swedish light syrup,swedish light syrup
bianco,sweet vermouth
italian vermouth,sweet vermouth
red vermouth,sweet vermouth
rosso,sweet vermouth
sweet white vermouth,sweet vermouth
sweet vermouth,sweet vermouth
syrah,syrah
still wine,table wine
table wine,table wine
tamarind nectar,tamarind juice
tamarind sauce,tamarind juice
tamarind water,tamarind juice
tamarind juice,tamarind juice
tarragon wine vinegar,tarragon vinegar
tarragon vinegar,tarragon vinegar
tea,tea
gold tequilas,tequila
tequilas añejas,tequila
white tequilas,tequila
tequila,tequila
tia maria,tía maria
tía maria,tía maria
italian,tiramisu
tiramisu,tiramisu
tokaj wine,tokaj wine
solanum lycopersicum,tomato juice
tomato juice,tomato juice
quinine water,tonic water
tonic water,tonic water
molasses,treacle
treacle,treacle
triple sec,triple sec
tuaca,tuaca
capra aegagrus hircus,ultra-pasteurized cream
ultra-pasteurized cream,ultra-pasteurized cream
pickled plum vinegar,umeboshi vinegar
plum vinegar,umeboshi vinegar
ume plum vinegar,umeboshi vinegar
ume vinegar,umeboshi vinegar
umeboshi plum vinegar,umeboshi vinegar
umeboshi vinegar,umeboshi vinegar
v-8 juice,v-8 juice
napa gamay,valdiguie
valdiguie,valdiguie
vandermint,vandermint
vanilla-flavored liqueurs,vanilla-flavored liqueurs
bos taurus,veal stock
veal stock,veal stock
vegetable bouillon cubes,vegetable bouillon cubes
vegetable broth,vegetable broth
vegetable stock,vegetable stock
verjuice,verjus
verjus,verjus
vermouth,vermouth
californian,viognier
viognier,viognier
violaceae,violet syrup
violet syrup,violet syrup
russian,vodka
vodka,vodka
french,vouvray
vouvray,vouvray
nocciole,walnut liqueur
nocello,walnut liqueur
nocino,walnut liqueur
walnut liqueur,walnut liqueur
water,water
wheat beer,wheat beer
chantilly cream,whipped cream
crème chantilly,whipped cream
whipped cream,whipped cream
whisky,whiskey
whiskey,whiskey
grenache rosé,white grenache
white grenache,white grenache
white merlot,white merlot
su,white rice vinegar
white rice vinegar,white rice vinegar
clear rum,white rum
light rum,white rum
puerto rican rum,white rum
silver rum,white rum
white rum,white rum
tea,white tea
white,white tea
white tea,white tea
distilled vinegar,white vinegar
distilled white vinegar,white vinegar
white distilled vinegar,white vinegar
white vinegar,white vinegar
white wine,white wine
white wine vinegar,white wine vinegar
white zinfandel,white zinfandel
wine,wine
wine vinegar,wine vinegar
yoghurt,yogurt
yogurt,yogurt
zin,zinfandel
zinfandel,zinfandel
